Date,Close
1970-01-02 16:00:00,93
1970-01-05 16:00:00,93.46
1970-01-06 16:00:00,92.82
1970-01-07 16:00:00,92.63
1970-01-08 16:00:00,92.68
1970-01-09 16:00:00,92.4
1970-01-12 16:00:00,91.7
1970-01-13 16:00:00,91.92
1970-01-14 16:00:00,91.65
1970-01-15 16:00:00,91.68
1970-01-16 16:00:00,90.92
1970-01-19 16:00:00,89.65
1970-01-20 16:00:00,89.83
1970-01-21 16:00:00,89.95
1970-01-22 16:00:00,90.04
1970-01-23 16:00:00,89.37
1970-01-26 16:00:00,88.17
1970-01-27 16:00:00,87.62
1970-01-28 16:00:00,86.79
1970-01-29 16:00:00,85.69
1970-01-30 16:00:00,85.02
1970-02-02 16:00:00,85.75
1970-02-03 16:00:00,86.77
1970-02-04 16:00:00,86.24
1970-02-05 16:00:00,85.9
1970-02-06 16:00:00,86.33
1970-02-09 16:00:00,87.01
1970-02-10 16:00:00,86.1
1970-02-11 16:00:00,86.94
1970-02-12 16:00:00,86.73
1970-02-13 16:00:00,86.54
1970-02-16 16:00:00,86.47
1970-02-17 16:00:00,86.37
1970-02-18 16:00:00,87.44
1970-02-19 16:00:00,87.76
1970-02-20 16:00:00,88.03
1970-02-24 16:00:00,87.99
1970-02-25 16:00:00,89.35
1970-02-26 16:00:00,88.9
1970-02-27 16:00:00,89.5
1970-03-02 16:00:00,89.71
1970-03-03 16:00:00,90.23
1970-03-04 16:00:00,90.04
1970-03-05 16:00:00,90
1970-03-06 16:00:00,89.44
1970-03-09 16:00:00,88.51
1970-03-10 16:00:00,88.75
1970-03-11 16:00:00,88.69
1970-03-12 16:00:00,88.33
1970-03-13 16:00:00,87.86
1970-03-16 16:00:00,86.91
1970-03-17 16:00:00,87.29
1970-03-18 16:00:00,87.54
1970-03-19 16:00:00,87.42
1970-03-20 16:00:00,87.06
1970-03-23 16:00:00,86.99
1970-03-24 16:00:00,87.98
1970-03-25 16:00:00,89.77
1970-03-26 16:00:00,89.92
1970-03-30 16:00:00,89.63
1970-03-31 16:00:00,89.63
1970-04-01 16:00:00,90.07
1970-04-02 16:00:00,89.79
1970-04-03 16:00:00,89.39
1970-04-06 16:00:00,88.76
1970-04-07 16:00:00,88.52
1970-04-08 16:00:00,88.49
1970-04-09 16:00:00,88.53
1970-04-10 16:00:00,88.24
1970-04-13 16:00:00,87.64
1970-04-14 16:00:00,86.89
1970-04-15 16:00:00,86.73
1970-04-16 16:00:00,85.88
1970-04-17 16:00:00,85.67
1970-04-20 16:00:00,85.83
1970-04-21 16:00:00,85.38
1970-04-22 16:00:00,84.27
1970-04-23 16:00:00,83.04
1970-04-24 16:00:00,82.77
1970-04-27 16:00:00,81.46
1970-04-28 16:00:00,80.27
1970-04-29 16:00:00,81.81
1970-04-30 16:00:00,81.52
1970-05-01 16:00:00,81.44
1970-05-04 16:00:00,79.37
1970-05-05 16:00:00,78.6
1970-05-06 16:00:00,79.47
1970-05-07 16:00:00,79.83
1970-05-08 16:00:00,79.44
1970-05-11 16:00:00,78.6
1970-05-12 16:00:00,77.85
1970-05-13 16:00:00,76.53
1970-05-14 16:00:00,75.44
1970-05-15 16:00:00,76.9
1970-05-18 16:00:00,76.96
1970-05-19 16:00:00,75.46
1970-05-20 16:00:00,73.52
1970-05-21 16:00:00,72.16
1970-05-22 16:00:00,72.25
1970-05-25 16:00:00,70.25
1970-05-26 16:00:00,69.29
1970-05-27 16:00:00,72.77
1970-05-28 16:00:00,74.61
1970-05-29 16:00:00,76.55
1970-06-01 16:00:00,77.84
1970-06-02 16:00:00,77.84
1970-06-03 16:00:00,78.52
1970-06-04 16:00:00,77.36
1970-06-05 16:00:00,76.17
1970-06-08 16:00:00,76.29
1970-06-09 16:00:00,76.25
1970-06-10 16:00:00,75.48
1970-06-11 16:00:00,74.45
1970-06-12 16:00:00,73.88
1970-06-15 16:00:00,74.58
1970-06-16 16:00:00,76.15
1970-06-17 16:00:00,76
1970-06-18 16:00:00,76.51
1970-06-19 16:00:00,77.05
1970-06-22 16:00:00,76.64
1970-06-23 16:00:00,74.76
1970-06-24 16:00:00,73.97
1970-06-25 16:00:00,74.02
1970-06-26 16:00:00,73.47
1970-06-29 16:00:00,72.89
1970-06-30 16:00:00,72.72
1970-07-01 16:00:00,72.94
1970-07-02 16:00:00,72.92
1970-07-06 16:00:00,71.78
1970-07-07 16:00:00,71.23
1970-07-08 16:00:00,73
1970-07-09 16:00:00,74.06
1970-07-10 16:00:00,74.45
1970-07-13 16:00:00,74.55
1970-07-14 16:00:00,74.42
1970-07-15 16:00:00,75.23
1970-07-16 16:00:00,76.34
1970-07-17 16:00:00,77.69
1970-07-20 16:00:00,77.79
1970-07-21 16:00:00,76.98
1970-07-22 16:00:00,77.03
1970-07-23 16:00:00,78
1970-07-24 16:00:00,77.82
1970-07-27 16:00:00,77.65
1970-07-28 16:00:00,77.77
